"Programme","Programme_URL","Institution","ECTS","Language","Degree_Level"
"University Certificate : Didactis of immersion teaching","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","26","French",NA
"University Certificate : Initiation to the Catholic religion","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","30","French",NA
"University Certificate : Didactics of the Islamic religion course","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","30","French",NA
"University Certificate : Didactics of the Orthodox religion course","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","30","French",NA
"University Certificate : French as a foreign language","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","30","French",NA
"University Certificate : Digestive endosonography","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","12","English",NA
"University Certificate : Banking and finance law","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","15","French",NA
"University Certificate : Insurance law","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","De 15 à 20","French",NA
"University certificate : Pension law and financing","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","12","French",NA
"University Certificate : Executive Master in business coaching","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","30","French",NA
"University Certificate: Exercise medicine","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","11","French",NA
"University Certificate : Exercise therapy","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","14","French",NA
"University Certficate : Medical expertise and insurance medicine","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","24","French",NA
"University Certificate : Real estate taxation","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","10","French",NA
"University Certificate : Fundamentals of canon law: law, ethics of pastoral action","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","15","French",NA
"University Certificate : Applied Geomatics","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","11","French",NA
"University Certificate : Innovation management","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","10","French",NA
"University Certificate : Management of digital intellectual rights and practices","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","19","French",NA
"University Certificate : Corporate tax management and practice","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","10","French",NA
"University Certificate : Hospital management","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","20","French",NA
"University Certificate : Territorial governance : project management and leadership","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","10","French",NA
"University Certificate : Company and non-profits governance and law","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","10","French",NA
"University Certificate : Hippotherapy","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","12","French",NA
"University Certificate : Introduction to actuarial science","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","De 14 à 19","French",NA
"University Certificate : Introduction to financial mathematics","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","10","French",NA
"University Certificate : Conference interpreting","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","50","French",NA
"University Certificate : Mindfulness-based psychological interventions","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","10","French",NA
"University Certificate : Mindfulness-Based Psychological Interventions - Children/Adolescents/Parents","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","11","French",NA
"Certificat d'université : Islam, politique, droits de l'homme et appartenances religieuses","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","20","French",NA
"University Certificate : Junior data analyst (intensive formula)","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","12","French",NA
"University Certificate : Junior data analyst (modual option)","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","12","French",NA
"University Certificate : Physiotherapy in perineology","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","45","French",NA
"University Certificate : Respiratory physiotherapy","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","30","French",NA
"University Certificate : Leadership collaboratif","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","10","French",NA
"University Certificate : Life coaching","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","22","French",NA
"Certificat d'université : LL.M. in International Law","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","De 60 à 60","English",NA
"University Certificate : Management of non-profit organisations","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","11","French",NA
"University Certificate : Human resources management","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","11","French",NA
"University Certificate : Innovative people management","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","14","French",NA
"University Certificate : Crisis representatives","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","10","French",NA
"University Certificate : Maternal-perinatal medicine","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","10","French",NA
"University Certificate : School medicine","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","12","French",NA
"University Certificate : Memory studies","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","De 15 à 20","English",NA
"University Certificate : Functional and intensive neurorehabilitation (paediatric orientation)","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","10","French",NA
"University Certificate : IAS / IFRS standards","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","10","French",NA
"University Certificate : Educational and professional orientation","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","20","French",NA
"University Certificate : Clinical orthopedagogy","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","24","French",NA
"University Certificate : Catechetic and catechumenal pastoral care","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","30","French",NA
"University Certificate : Pastoral health care","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","15","French",NA
"University Certificate : Family pastoral care","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","15","French",NA
"University Certificate : Liturgical and sacramental pastoral care","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","15","French",NA
"University Certificate : Personal training","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","11","French",NA
"University Certificate : Inheritance planning","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","13","French",NA
"University Certificate : Professional insurance practice","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","12","French",NA
"Certificat d'université : Pratiques de consommation et conduites de dépendances","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","10","French",NA
"University Cartificate : Sports performance psychology","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","16","French",NA
"University Certificate : Sport psychology","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","De 27 à 52","French",NA
"University Certificate : Psychotherapie - Psycgoanalitical clinics (Adults/Children)","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","De 89 à 92","French",NA
"University Certifcate : Psychotherapy - Systemic clinics","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","100","French",NA
"University Certificate: Psychotherapy - psychological care and assessment","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","70","French",NA
"University Certificate : Experiential psychotherapy focused on the person","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","105","French",NA
"University Certificate : Intensive adult neurological functional rehabilitation","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","10","French",NA
"University Certificate : International relations and conflict analysis","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","20","French",NA
"Certificat d'université : Religions et sociétés","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","20","French",NA
"University Certificate : Mental health in a social context: multiculturality and precariousness","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","15","French",NA
"University certificate ""Religious and social sciences: Islam in the contemporary world""","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","De 10 à 15","French",NA
"University Certificate : Applied clinical sexology","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","20","French",NA
"University Certificate : Dental care under conscious sedation using MEOPA","https://www.studyinbelgium.be/en/universite-catholique-de-louvain","Université catholique de Louvain","10","French",NA
